2024-05-27 22:41:17,907 - pyswarms.single.local_best - INFO - Optimize for 1000 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 4, 'p': 2}
2024-05-27 22:42:17,526 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 4, 'p': 2}
2024-05-27 22:48:27,073 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 4, 'p': 2}
2024-05-28 09:09:18,574 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 4, 'p': 2}
2024-05-28 10:13:57,745 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 8, 'p': 2}
2024-05-28 10:19:29,539 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 8, 'p': 2}
2024-05-28 10:27:32,754 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 8, 'p': 2}
2024-05-28 10:29:09,599 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 8, 'p': 2}
2024-05-28 10:34:47,573 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 8, 'p': 2}
2024-05-28 10:35:07,587 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 8, 'p': 2}
2024-05-28 10:35:36,216 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 8, 'p': 2}
2024-05-28 10:42:16,982 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 8, 'p': 2}
2024-05-28 10:45:08,530 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 8, 'p': 2}
2024-05-28 18:22:03,149 - pyswarms.single.local_best - INFO - Optimize for 50 iters with {'c1': 1.49, 'c2': 1.49, 'w': 0.729, 'k': 8, 'p': 2}
